Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ,Exit_λ,Entry_SMA(20),Exit_SMA(20),Entry_RSI(14),Exit_RSI(14)
-62,23,24,151.92257690429688,152.51371153121224,152.51371153121224,151.06272431251887,-74.40044663475561,37.75009976600313,-0.007898807591595267,2024-01-08 00:00:00-05:00,2024-01-09 00:00:00-05:00,1 days 00:00:00,,150.57906190628776,150.86213635609482,147.56232604980468,147.90138473510743,60.702920427187934,61.02655880395306
-61,24,26,152.0166473388672,151.39235663019585,152.98301745249893,151.39235663019585,1.0658347447259757,37.01589848422569,0.00011493939011994816,2024-01-09 00:00:00-05:00,2024-01-11 00:00:00-05:00,2 days 00:00:00,,150.86213635609482,151.50782348920714,147.90138473510743,148.50755081176757,61.02655880395306,57.93800964738086
-61,32,33,152.80670166015625,150.16382848601188,152.91201058451537,151.63948420969544,124.25285894497405,36.96240467783251,0.013330122905094794,2024-01-22 00:00:00-05:00,2024-01-23 00:00:00-05:00,1 days 00:00:00,,151.21530875142213,151.64797502325956,150.18685607910157,150.42057723999022,60.639225952776584,48.575547946245365
65,42,43,146.53338623046875,147.90821131789122,146.06925851656132,147.90821131789122,51.08622300117344,38.2774076812868,0.0053635687575637,2024-02-05 00:00:00-05:00,2024-02-06 00:00:00-05:00,1 days 00:00:00,,146.06925851656132,145.7315893417267,150.50757293701173,150.34439239501953,33.67739724699085,45.458149984254185
65,49,50,146.47695922851562,147.86186547511406,145.76685437692032,147.86186547511406,51.754858817426296,38.26404721147186,0.005435862414026425,2024-02-14 00:00:00-05:00,2024-02-15 00:00:00-05:00,1 days 00:00:00,,145.76685437692032,145.6389484285792,149.084561920166,148.9298454284668,39.09310168931751,48.64277941223281
-62,55,59,153.36985778808594,153.60062133560032,153.60062133560032,151.2786077892311,-52.371679357229,38.0643394113371,-0.005507630494962788,2024-02-23 00:00:00-05:00,2024-02-29 00:00:00-05:00,6 days 00:00:00,,150.50460327377468,152.40702426283596,148.87994995117188,149.4943473815918,65.21511166187055,61.85674324609576
-62,59,60,152.9339599609375,153.78303921372654,153.78303921372654,152.75102800055862,-90.67582157057876,38.03290789765834,-0.009563037872764909,2024-02-29 00:00:00-05:00,2024-03-01 00:00:00-05:00,1 days 00:00:00,,152.40702426283596,152.28244122074724,149.4943473815918,149.7290512084961,61.85674324609576,64.15188245873334
64,72,73,148.03451538085938,147.41426313907596,147.41426313907596,149.1264560769464,-77.51358712469053,37.81744365055172,-0.008181536553872385,2024-03-19 00:00:00-04:00,2024-03-20 00:00:00-04:00,1 days 00:00:00,,147.41426313907596,147.4090590881693,151.66217117309571,151.5238136291504,39.595873208147495,38.33407736872656
63,73,74,147.6080780029297,147.4090590881693,147.4090590881693,148.34724352720443,-49.71035090338286,37.17215927347847,-0.0053455962547450725,2024-03-20 00:00:00-04:00,2024-03-21 00:00:00-04:00,1 days 00:00:00,,147.4090590881693,146.96698580061044,151.5238136291504,151.30111236572264,38.33407736872656,38.30482018848112
63,74,75,147.5985870361328,147.92862410408932,146.96698580061044,147.92862410408932,-16.444093322407824,37.23642860366799,-0.0017684271886697703,2024-03-21 00:00:00-04:00,2024-03-22 00:00:00-04:00,1 days 00:00:00,,146.96698580061044,146.63434421692713,151.30111236572264,150.98790893554687,38.30482018848112,36.73700719071847
63,75,78,147.1057891845703,148.08070844573564,146.63434421692713,148.08070844573564,24.22641475199697,37.19349870141855,0.002614079758766291,2024-03-22 00:00:00-04:00,2024-03-27 00:00:00-04:00,5 days 00:00:00,,146.63434421692713,146.85135192281984,150.98790893554687,150.30701370239257,36.73700719071847,49.9759539765067
64,83,84,144.5186767578125,144.07329974512376,,147.17686302423166,-65.44390180445505,36.939772992375836,-0.007075631943463185,2024-04-04 00:00:00-04:00,2024-04-05 00:00:00-04:00,1 days 00:00:00,,144.20593581677102,142.90812462623126,149.25558319091797,148.94854202270508,32.01210042710047,31.751279792239163
64,84,87,144.41445922851562,142.90812462623126,142.90812462623126,145.32395282360312,-133.1827052796072,36.7772907334076,-0.014409774347463433,2024-04-05 00:00:00-04:00,2024-04-10 00:00:00-04:00,5 days 00:00:00,,142.90812462623126,143.49094178830742,148.94854202270508,147.55500183105468,31.751279792239163,28.66766189183641
65,89,90,139.79933166503906,139.71024253683598,139.71024253683598,141.64915882191403,-42.12703797944428,36.336244646243756,-0.004635989806873363,2024-04-12 00:00:00-04:00,2024-04-15 00:00:00-04:00,3 days 00:00:00,,139.71024253683598,138.79859195234775,146.41780471801758,145.9160186767578,23.69004141304305,24.07538985371369
65,90,91,139.8656768798828,137.42067335570363,,140.29970152138472,-194.97245460227327,36.047225530626235,-0.021446120960944583,2024-04-15 00:00:00-04:00,2024-04-16 00:00:00-04:00,1 days 00:00:00,,138.79859195234775,138.76069563811745,145.9160186767578,145.33273162841797,24.07538985371369,19.35455556083436
63,97,98,140.75643920898438,140.5389725008848,140.5389725008848,142.32935255570993,-49.143624485716984,35.44322187544351,-0.005541895886987806,2024-04-24 00:00:00-04:00,2024-04-25 00:00:00-04:00,1 days 00:00:00,,140.5389725008848,139.6462490258796,143.04365310668945,142.51580429077148,39.65947556216817,35.4301724705231
64,99,101,138.49154663085938,137.44200737978468,137.44200737978468,139.98293002592797,-102.49000698214266,35.31949491336244,-0.011563206549815113,2024-04-26 00:00:00-04:00,2024-04-30 00:00:00-04:00,4 days 00:00:00,,137.44200737978468,138.4948637082364,141.94483642578126,140.8029006958008,33.8827724522975,31.806812993774475
-60,114,115,146.5466766357422,145.6712745473847,147.27401279487904,145.6712745473847,17.45797115947329,35.06615414197523,0.0019854847115669677,2024-05-17 00:00:00-04:00,2024-05-20 00:00:00-04:00,3 days 00:00:00,,145.13702846488658,145.94728267951814,141.77757034301757,141.93738403320313,63.715126353443885,55.22758449054355
-61,150,153,143.01197814941406,144.22000801092102,144.22000801092102,142.02108425137544,-108.73212386348533,35.04230231156089,-0.012463947823764362,2024-07-11 00:00:00-04:00,2024-07-16 00:00:00-04:00,5 days 00:00:00,,141.28810966486023,141.8474620780509,140.23772201538085,140.89355239868163,60.26774298185441,63.43587931738065
-56,161,162,153.46322631835938,151.30468827982023,154.91438137492986,151.30468827982023,86.74412372319622,34.13400643499612,0.0100936377170214,2024-07-26 00:00:00-04:00,2024-07-29 00:00:00-04:00,3 days 00:00:00,,150.10145724811701,152.35457264346078,144.3699806213379,144.9622817993164,72.9246245611117,65.90076507163737
