Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ,Exit_λ,Entry_SMA(20),Exit_SMA(20),Entry_RSI(14),Exit_RSI(14)
-166,20,22,56.91255187988281,56.46383185214682,57.41134844170246,56.46383185214682,36.846565205141275,37.64095939903383,0.0039001459772953252,2024-01-03 00:00:00-05:00,2024-01-05 00:00:00-05:00,2 days 00:00:00,,56.147992988961605,56.40949401007622,55.86561450958252,55.968600273132324,62.63735873548113,58.891489708706935
-166,23,25,57.054931640625,57.159341913080446,,56.41281462632828,-55.2512440474343,37.91913881983021,-0.0058336555665218556,2024-01-08 00:00:00-05:00,2024-01-10 00:00:00-05:00,2 days 00:00:00,,56.18833448336944,56.679055179549266,56.03361873626709,56.15463829040527,62.722788849370225,62.96261377444198
-165,25,26,57.140357971191406,56.81478737065842,57.22198394398589,56.81478737065842,16.11395112513194,37.60519796281044,0.001709130172032165,2024-01-10 00:00:00-05:00,2024-01-11 00:00:00-05:00,1 days 00:00:00,,56.679055179549266,56.915877836976435,56.15463829040527,56.17314739227295,62.96261377444198,57.44521507795303
-163,53,55,58.12750244140625,58.30927104296248,58.30927104296248,57.26778688757638,-67.58667020956949,37.9583881559042,-0.007133321252585011,2024-02-21 00:00:00-05:00,2024-02-23 00:00:00-05:00,2 days 00:00:00,,56.92062550244768,57.65054505437032,56.78489170074463,56.988015747070314,64.9194059503451,64.11701881587034
-162,55,56,58.08953094482422,57.84631248995371,58.4336147967039,57.84631248995371,1.838176416154262,37.56321327286805,0.000195332408721478,2024-02-23 00:00:00-05:00,2024-02-26 00:00:00-05:00,3 days 00:00:00,,57.65054505437032,57.76586271476256,56.988015747070314,57.05161056518555,64.11701881587034,57.487262637738326
-160,79,80,58.5350341796875,58.199450491778016,58.77566337801624,58.199450491778016,16.33835497064844,37.35503509486897,0.0017445060039273002,2024-03-28 00:00:00-04:00,2024-04-01 00:00:00-04:00,4 days 00:00:00,,58.0073795296986,58.398217314552966,57.43241500854492,57.51002731323242,64.35106060722721,56.61777978117305
169,90,92,55.62646484375,55.99194732772907,55.29733627105553,55.99194732772907,24.039516478503245,37.727023313959926,0.002557158000884509,2024-04-15 00:00:00-04:00,2024-04-17 00:00:00-04:00,2 days 00:00:00,,55.29733627105553,55.3131225829206,57.31372299194336,57.13241558074951,34.14906942432503,39.76275274722258
-162,96,97,58.01838684082031,58.41113209238611,58.41113209238611,57.692839028880186,-101.34789488801832,37.72316413435888,-0.010782862528539779,2024-04-23 00:00:00-04:00,2024-04-24 00:00:00-04:00,1 days 00:00:00,,57.453408007711545,57.72896504249391,57.04439277648926,57.0927095413208,60.25013203032007,66.31965860413315
-158,98,101,59.070831298828125,59.84150471815287,59.84150471815287,58.41281049187572,-159.34269843467558,37.576298181366,-0.01707269170221948,2024-04-25 00:00:00-04:00,2024-04-30 00:00:00-04:00,5 days 00:00:00,,57.93657908311666,59.084221003798284,57.126675033569335,57.296023559570315,67.43765874228662,65.65705796453929
-155,102,106,59.25261306762695,60.046727629841584,,58.74170185022786,-160.07055275948304,36.98279561621525,-0.01742899072536943,2024-05-01 00:00:00-04:00,2024-05-07 00:00:00-04:00,6 days 00:00:00,,58.383870619401044,59.401866893762765,57.396483993530275,57.93849277496338,66.77275859855155,71.71897310462441
-150,107,108,60.13283920288086,60.212727217052745,60.212727217052745,59.76280753405175,-48.086872051762896,36.103669925980086,-0.005331182616043858,2024-05-08 00:00:00-04:00,2024-05-09 00:00:00-04:00,1 days 00:00:00,,59.612834306384755,59.874989464286436,58.12649784088135,58.309718704223634,73.25867628249367,73.4616449798388
-149,108,109,60.16154479980469,60.39068894147528,60.39068894147528,60.003914333583644,-70.0670427638201,35.92456565490143,-0.007816431754170773,2024-05-09 00:00:00-04:00,2024-05-10 00:00:00-04:00,1 days 00:00:00,,59.874989464286436,59.95105513503517,58.309718704223634,58.54795398712158,73.4616449798388,75.95133184389901
-148,112,113,60.400733947753906,60.87720496036879,60.87720496036879,60.119445768106615,-106.4159797838076,35.898269916804324,-0.01190427406152192,2024-05-15 00:00:00-04:00,2024-05-16 00:00:00-04:00,1 days 00:00:00,,59.866859370685894,60.195507637973094,59.27031364440918,59.48128089904785,69.31864675800165,70.81361642855454
-145,113,114,60.58251953125,60.60596025753472,60.60596025753472,60.2981207928635,-38.54356445003175,35.14465913874757,-0.0043876961195906386,2024-05-16 00:00:00-04:00,2024-05-17 00:00:00-04:00,1 days 00:00:00,,60.195507637973094,60.2352129991662,59.48128089904785,59.61809883117676,70.81361642855454,65.56260640249964
-146,117,118,60.2763557434082,59.788405345866394,60.47441085960229,60.04817016529163,36.181847803035915,35.05891023806819,0.004111411055077963,2024-05-22 00:00:00-04:00,2024-05-23 00:00:00-04:00,1 days 00:00:00,,59.906089933854744,60.08691544703412,59.89269161224365,59.90943489074707,62.50371795319263,50.03753177434246
-144,126,129,61.15658187866211,60.90471510438668,61.717730435757886,60.90471510438668,1.1151619645435034,35.15365353111805,0.0001266287302435871,2024-06-05 00:00:00-04:00,2024-06-10 00:00:00-04:00,5 days 00:00:00,,60.633709993929614,60.93126361341984,60.12949161529541,60.25674171447754,67.41455578185051,60.725520440122224
-145,130,131,60.802574157714844,60.67771742983385,61.16710618647489,60.67771742983385,-17.12505901764473,35.22928456038912,-0.0019424153817526359,2024-06-11 00:00:00-04:00,2024-06-12 00:00:00-04:00,1 days 00:00:00,,60.51458784428683,60.49736436035483,60.25530643463135,60.244782066345216,60.150335228590535,51.37333795417829
-142,140,141,61.75646209716797,61.85094964019091,61.85094964019091,61.40549212936743,-48.52173604266783,35.10450493340992,-0.005533062531335113,2024-06-26 00:00:00-04:00,2024-06-27 00:00:00-04:00,1 days 00:00:00,,61.257006292426276,61.289792893256525,60.61052703857422,60.73997287750244,65.7526793944275,63.68761401255657
-139,155,156,62.85564041137695,62.61507144364705,63.39461678677817,62.61507144364705,-1.4417713812396613,34.88085789569667,-0.00016502028954376666,2024-07-18 00:00:00-04:00,2024-07-19 00:00:00-04:00,1 days 00:00:00,,62.35522299593667,62.27760960275468,61.286417961120605,61.436349868774414,67.7443374425361,68.37659203252107
-139,156,157,62.95206069946289,62.56662500706582,63.433671219999226,62.56662500706582,18.68136661677832,34.89419462641498,0.0021349312395926284,2024-07-19 00:00:00-04:00,2024-07-22 00:00:00-04:00,3 days 00:00:00,,62.27760960275468,62.51721051702996,61.436349868774414,61.53276901245117,68.37659203252107,61.613444256475155
-140,158,159,62.633872985839844,62.96507274191196,62.96507274191196,62.193477575577226,-81.53567065386684,35.167704803770505,-0.009298445390073424,2024-07-23 00:00:00-04:00,2024-07-24 00:00:00-04:00,1 days 00:00:00,,61.93627918679898,62.00280841456383,61.58049621582031,61.67546920776367,63.051482473553676,68.70055885851707
-136,160,161,63.70412826538086,64.05798552860526,64.05798552860526,63.15116394346104,-82.8758827504824,34.751294951964226,-0.009565808486912877,2024-07-25 00:00:00-04:00,2024-07-26 00:00:00-04:00,1 days 00:00:00,,62.8488900817463,63.15791446094732,61.77285251617432,61.92423076629639,70.20133665628445,75.05623405422116
-130,169,170,66.00853729248047,66.18066201781534,66.18066201781534,65.32952220154155,-56.74540611420973,34.3691918206769,-0.006612828307667709,2024-08-07 00:00:00-04:00,2024-08-08 00:00:00-04:00,1 days 00:00:00,,65.04580892945029,65.2926260421367,63.732089614868165,64.00350990295411,66.75584102453669,67.89836006376278
-129,170,172,66.26889038085938,65.65058166730859,66.72444854282423,65.65058166730859,45.72660025962445,34.03522378842733,0.005348961894748051,2024-08-08 00:00:00-04:00,2024-08-12 00:00:00-04:00,4 days 00:00:00,,65.2926260421367,65.93429205320612,64.00350990295411,64.47307033538819,67.89836006376278,62.74470064747318
-130,173,174,66.00853729248047,66.10544387788896,66.10544387788896,65.54066947951254,-46.94749120739979,34.349635104296055,-0.005471027878546472,2024-08-13 00:00:00-04:00,2024-08-14 00:00:00-04:00,1 days 00:00:00,,65.35241134672042,65.69035496409522,64.67506828308106,64.83753490447998,64.26692872054863,64.90599636118303
-129,174,175,66.12425231933594,66.32671962086572,66.32671962086572,65.84944612828785,-60.29063265791356,34.17235076057203,-0.007068045823083276,2024-08-14 00:00:00-04:00,2024-08-15 00:00:00-04:00,1 days 00:00:00,,65.69035496409522,65.7212191548177,64.83753490447998,65.00433959960938,64.90599636118303,65.29579597412723
