Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ,Exit_λ,Entry_SMA(20),Exit_SMA(20),Entry_RSI(14),Exit_RSI(14)
61,32,33,155.3437957763672,154.82631584110962,,156.40625191127603,-69.40702966804388,37.84075361733217,-0.007324529137491452,2024-01-22 00:00:00-05:00,2024-01-23 00:00:00-05:00,1 days 00:00:00,,155.10999678779953,154.46927414695716,158.33005905151367,158.36157760620117,39.855390762413144,48.743848685923545
-57,73,74,162.92848205566406,163.73193154595316,163.73193154595316,162.441430162082,-83.0359080970629,37.23928715058437,-0.008941164240360611,2024-03-20 00:00:00-04:00,2024-03-21 00:00:00-04:00,1 days 00:00:00,,162.01126303412497,161.89607136777477,157.39001388549804,157.6495002746582,66.04073355172315,67.25616781205429
-57,74,75,163.48780822753906,164.02819993949063,,162.41227671171941,-68.13915251228093,37.336824931041384,-0.007312005349180859,2024-03-21 00:00:00-04:00,2024-03-22 00:00:00-04:00,1 days 00:00:00,,161.89607136777477,162.2520533841546,157.6495002746582,157.82509689331056,67.25616781205429,65.41849367452596
-56,76,77,163.6300506591797,163.77887402735055,163.77887402735055,162.7308175029263,-45.0039081824599,36.669799564891385,-0.004911330249587164,2024-03-25 00:00:00-04:00,2024-03-26 00:00:00-04:00,1 days 00:00:00,,162.3814653281182,163.11906450807982,158.09122467041016,158.36821746826172,66.73873488197883,67.04232715534775
-56,77,78,163.7532501220703,164.95725235963093,,163.37455758362975,-104.23970158134502,36.81557627795054,-0.011367244565444686,2024-03-26 00:00:00-04:00,2024-03-27 00:00:00-04:00,1 days 00:00:00,,163.11906450807982,163.1536242113698,158.36821746826172,158.73818588256836,67.04232715534775,69.01129495524226
-54,108,109,168.8062744140625,169.07125893688368,169.07125893688368,167.7494657464019,-50.799937834245924,36.49077360190219,-0.005572894685274153,2024-05-09 00:00:00-04:00,2024-05-10 00:00:00-04:00,1 days 00:00:00,,167.30886801624132,168.10757798619497,165.14165802001952,165.6957809448242,62.419473701604154,65.99769151114884
-52,110,111,171.49867248535156,171.77596409747468,171.77596409747468,169.78154309774703,-50.11972603501627,35.70056220461393,-0.005620106974128913,2024-05-13 00:00:00-04:00,2024-05-14 00:00:00-04:00,1 days 00:00:00,,169.11673609783782,170.71654750152553,166.35703125,166.94338760375976,68.0966770154709,64.14004641249035
-52,116,117,171.6693115234375,172.09687661960464,172.09687661960464,170.36055827222893,-57.98506856756782,35.75168356687638,-0.006495613354289019,2024-05-21 00:00:00-04:00,2024-05-22 00:00:00-04:00,1 days 00:00:00,,169.78178548977036,170.7411905877985,168.96221694946288,169.18405532836914,61.477230847998655,63.58685513797989
55,121,122,162.25537109375,162.0856841283082,162.0856841283082,165.51139530156857,-45.0102991737253,35.67751607442641,-0.0050437102351025545,2024-05-29 00:00:00-04:00,2024-05-30 00:00:00-04:00,1 days 00:00:00,,162.0856841283082,160.9726906241853,169.06460571289062,168.8432418823242,36.96965237653779,35.872203694077314
55,122,123,161.62020874023438,160.9726906241853,160.9726906241853,162.89671132853235,-71.09871531278505,35.48521893008616,-0.007998405179983502,2024-05-30 00:00:00-04:00,2024-05-31 00:00:00-04:00,1 days 00:00:00,,160.9726906241853,160.9371461952605,168.8432418823242,168.7223678588867,35.872203694077314,42.51057868812109
