Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ,Exit_λ,Entry_SMA(20),Exit_SMA(20),Entry_RSI(14),Exit_RSI(14)
-182,20,21,52.07952117919922,51.86498674753651,52.4988167881301,51.86498674753651,1.20946567728069,37.83580088533181,0.00012760132310683531,2024-01-03 00:00:00-05:00,2024-01-04 00:00:00-05:00,1 days,,51.65371006733865,51.83318026095853,50.62901058197021,50.67161331176758,63.63538534902702,57.3863372188019
-180,26,27,52.671268463134766,52.55569524047287,53.07894002442535,52.55569524047287,-17.07852685415788,37.88170693329875,-0.0018013749718545627,2024-01-11 00:00:00-05:00,2024-01-12 00:00:00-05:00,1 days,,52.38128031248871,52.36199496080489,51.281006050109866,51.399844360351565,64.65931674262625,65.15884859136204
-179,27,28,52.73991775512695,52.98054196546464,52.98054196546464,52.51663171196983,-80.91965823041748,37.84792457997179,-0.008571593377862587,2024-01-12 00:00:00-05:00,2024-01-16 00:00:00-05:00,4 days,,52.36199496080489,52.53133677524136,51.399844360351565,51.55775051116943,65.15884859136204,66.40105413383304
-177,28,29,52.906654357910156,52.94849873501255,52.94849873501255,52.635627265184155,-44.879178942018214,37.47272419489464,-0.004792491348497599,2024-01-16 00:00:00-05:00,2024-01-17 00:00:00-05:00,1 days,,52.53133677524136,52.69627692964969,51.55775051116943,51.69391574859619,66.40105413383304,62.807475156855915
-176,32,33,53.0897331237793,52.894965449257114,53.46946088615374,52.894965449257114,-3.0275031818046614,37.306613897708814,-0.00032401222631473284,2024-01-22 00:00:00-05:00,2024-01-23 00:00:00-05:00,1 days,,52.70346697029157,52.82900842639584,52.08295917510986,52.21373023986816,64.22996040488474,65.3294242890975
-175,33,34,53.22377014160156,52.959370775087564,53.350457821162756,52.959370775087564,9.105789819108587,37.164099320841196,0.0009776286900042086,2024-01-23 00:00:00-05:00,2024-01-24 00:00:00-05:00,1 days,,52.82900842639584,53.02957497444635,52.21373023986816,52.2766637802124,65.3294242890975,55.0980245833067
-173,37,38,53.95608901977539,54.0136247451874,54.0136247451874,53.5497176261856,-47.31120145895473,37.35752096267713,-0.00506847619814892,2024-01-29 00:00:00-05:00,2024-01-30 00:00:00-05:00,1 days,,53.39508191985166,53.61624952026104,52.608331489562985,52.738121604919435,66.73946247924853,67.9358815524049
-171,38,39,54.13589859008789,54.85840909506477,,53.78616927001821,-160.82534957936895,37.27605322832221,-0.017372928959184006,2024-01-30 00:00:00-05:00,2024-01-31 00:00:00-05:00,1 days,,53.61624952026104,53.742114853737355,52.738121604919435,52.83554553985596,67.9358815524049,66.34703418039763
-165,41,44,55.43707275390625,55.66592186289,,54.7401435678157,-74.42409120586186,36.66398822354276,-0.00813634407104527,2024-02-02 00:00:00-05:00,2024-02-07 00:00:00-05:00,5 days,,54.45514446595366,55.22603916418146,53.17587738037109,53.72478847503662,74.64352272538491,70.5680272701869
-164,45,46,55.37168502807617,55.243693659467766,55.637475351962905,55.243693659467766,-15.291259757735872,36.28184420951442,-0.0016838820909893925,2024-02-08 00:00:00-05:00,2024-02-09 00:00:00-05:00,1 days,,55.11243309530272,55.11815427835678,53.85686721801758,53.9904167175293,70.5193549899648,70.0510038570475
-163,46,47,55.34225845336914,55.62521577779556,55.62521577779556,55.24491965321648,-82.2974404808661,36.17539659935969,-0.009123087618734644,2024-02-09 00:00:00-05:00,2024-02-12 00:00:00-05:00,3 days,,55.11815427835678,55.19661207979086,53.9904167175293,54.137207221984866,70.0510038570475,72.2964355180305
-162,50,51,55.34552764892578,55.67245695593652,,54.999477633229,-88.93237474771472,35.96982701197538,-0.009918873295467097,2024-02-15 00:00:00-05:00,2024-02-16 00:00:00-05:00,1 days,,54.879005925637685,55.007484599761796,54.47868251800537,54.60912647247314,65.4601522041791,68.25582757761117
-155,55,56,57.39535903930664,57.983833980319844,,57.15212595301186,-126.98116569313069,35.767549836084214,-0.014273511670018755,2024-02-23 00:00:00-05:00,2024-02-26 00:00:00-05:00,3 days,,56.95793080006669,56.97460424947796,55.459136962890625,55.69664974212647,72.05973292792225,76.63213098368324
-150,58,59,58.474220275878906,58.28836713176432,58.75766972817058,58.28836713176432,-7.150804605104682,35.02877622229296,-0.0008152657782486581,2024-02-28 00:00:00-05:00,2024-02-29 00:00:00-05:00,1 days,,58.13193293296223,58.231478383384456,56.138001441955566,56.31094627380371,76.63027422533175,64.40422723752083
-152,60,61,57.6307487487793,57.96912671998409,57.96912671998409,57.24089478514956,-86.57581376563253,35.14236214250407,-0.009883226133763995,2024-03-01 00:00:00-05:00,2024-03-04 00:00:00-05:00,3 days,,56.99815080687138,57.28012041798058,56.44122657775879,56.577391624450684,65.28990969283669,68.34377384534763
-144,69,70,60.0511474609375,59.716548919677734,60.41519002241216,59.94588742592771,13.689093383789057,34.49309655761719,0.001583036336822297,2024-03-14 00:00:00-04:00,2024-03-15 00:00:00-04:00,1 days,,59.78945322709956,59.59648284345934,58.25229682922363,58.47084789276123,72.68245135485513,68.31595550766906
-145,71,72,59.89368438720703,60.09002470060782,60.09002470060782,59.52981102921269,-63.264621078580724,34.79527563546631,-0.0072847034881964295,2024-03-18 00:00:00-04:00,2024-03-19 00:00:00-04:00,1 days,,59.34307313874765,59.617636922980644,58.68076496124267,58.801269340515134,69.36521869814909,69.42582611750002
-144,72,73,59.90353012084961,60.16973185143342,60.16973185143342,59.755660655093834,-72.91414865208603,34.58109944801751,-0.00845272813650317,2024-03-19 00:00:00-04:00,2024-03-20 00:00:00-04:00,1 days,,59.617636922980644,59.649133816818086,58.801269340515134,58.97578029632568,69.42582611750002,71.71481378197944
-141,74,75,60.47432327270508,60.13135875315748,60.56978295144871,60.13135875315748,14.347194924918341,34.01080233129324,0.0016825844422768271,2024-03-21 00:00:00-04:00,2024-03-22 00:00:00-04:00,1 days,,59.98521735372707,60.144149871453344,59.13218040466309,59.257588958740236,72.8662058703509,64.64750301513078
-144,77,78,59.54924392700195,59.949294441696594,59.949294441696594,59.437795940162445,-92.02285316621348,34.41557905018519,-0.01073141402459122,2024-03-26 00:00:00-04:00,2024-03-27 00:00:00-04:00,1 days,,59.26729643965106,59.22448230074871,59.37049541473389,59.434579849243164,60.06118641873621,61.86815024286483
-142,78,79,59.75590896606445,59.38686311387533,59.874005553255195,59.38686311387533,18.567963740152777,33.836547270702894,0.002188240632462015,2024-03-27 00:00:00-04:00,2024-03-28 00:00:00-04:00,1 days,,59.22448230074871,59.393260879234354,59.434579849243164,59.52112998962402,61.86815024286483,54.86663327210659
-133,114,116,63.84373474121094,64.01556769371608,64.01556769371608,62.80979542255114,-56.864357130874424,34.01057444769059,-0.0066968443984058695,2024-05-17 00:00:00-04:00,2024-05-21 00:00:00-04:00,4 days,,62.40787133216283,62.89619963725867,59.50974655151367,60.02875576019287,76.29551240602133,75.13231098258797
-131,117,118,64.4362564086914,64.13653792736173,64.73942872291327,64.13653792736173,5.577048938141758,33.68607211604592,0.0006606977970220794,2024-05-22 00:00:00-04:00,2024-05-23 00:00:00-04:00,1 days,,63.935574328844545,63.914841681679086,60.30459823608398,60.543465805053714,75.43100426403785,71.63199358275898
-132,121,122,64.11036682128906,64.03063449368061,64.6253765204513,64.03063449368061,-23.304557102836057,33.82922434715199,-0.002753839726321117,2024-05-29 00:00:00-04:00,2024-05-30 00:00:00-04:00,1 days,,63.8323871514237,63.806209281976244,61.34386024475098,61.65211715698242,69.20557839429925,68.90554234018674
-131,122,123,64.08074188232422,64.41452436060189,64.41452436060189,63.95828805163265,-77.39126441002131,33.66575975564664,-0.009219197428275594,2024-05-30 00:00:00-04:00,2024-05-31 00:00:00-04:00,1 days,,63.806209281976244,63.86348472212367,61.65211715698242,61.96101474761963,68.90554234018674,72.61374227072908
-126,127,128,66.31256103515625,66.72583755007248,66.72583755007248,66.0170365167118,-85.5985173229231,33.52567644347764,-0.010244715352292386,2024-06-06 00:00:00-04:00,2024-06-07 00:00:00-04:00,1 days,,65.78076950559158,65.94865351970283,63.28825206756592,63.55685977935791,77.69503500893019,64.45692406264124
-126,132,133,65.8681640625,66.0478991966423,66.0478991966423,65.2005987415226,-55.889474843234325,33.242847941303864,-0.00673416766618393,2024-06-13 00:00:00-04:00,2024-06-14 00:00:00-04:00,1 days,,64.9181652564827,65.42821719023239,64.84657173156738,64.99519443511963,65.3608046423828,66.90522993925353
-124,133,134,66.18417358398438,66.30811093476761,66.30811093476761,65.6481906263662,-48.22631805777186,32.85808656065049,-0.005876358331002172,2024-06-14 00:00:00-04:00,2024-06-17 00:00:00-04:00,3 days,,65.42821719023239,65.7442308513945,64.99519443511963,65.1319673538208,66.90522993925353,68.77913314023068
-123,134,135,66.57919311523438,66.78656740637943,,65.96420221768943,-58.31501489915914,32.807977088317,-0.007120930579133149,2024-06-17 00:00:00-04:00,2024-06-18 00:00:00-04:00,1 days,,65.7442308513945,66.01975868592928,65.1319673538208,65.30083465576172,68.77913314023068,69.61291352813588
-122,135,136,66.75694274902344,67.13862754453947,67.13862754453947,66.29947590058183,-79.23606420458586,32.67051915162935,-0.00972896464933846,2024-06-18 00:00:00-04:00,2024-06-20 00:00:00-04:00,2 days,,66.01975868592928,66.44735264814645,65.30083465576172,65.44205131530762,69.61291352813588,71.4812388672532
-120,137,138,67.0630874633789,67.61263845742721,67.61263845742721,66.93643284648171,-98.26829350678986,32.32217422099347,-0.012210926708930505,2024-06-21 00:00:00-04:00,2024-06-24 00:00:00-04:00,3 days,,66.71103097616654,66.67202537784435,65.57339286804199,65.77386207580567,70.34526366533034,74.64198047919415
-118,145,146,67.38896179199219,67.66645991432848,67.66645991432848,66.9983969349256,-64.61785795837474,31.87307952269168,-0.008126092926601745,2024-07-03 00:00:00-04:00,2024-07-05 00:00:00-04:00,2 days,,66.77570927512464,67.04678456173465,66.5974609375,66.74312171936035,62.43929231820802,70.60904922003344
-114,148,149,69.02826690673828,69.2400863842754,69.2400863842754,68.59646376587011,-55.67260498958273,31.52518455035112,-0.007074727586293762,2024-07-09 00:00:00-04:00,2024-07-10 00:00:00-04:00,1 days,,68.38192289306835,68.71324421461303,67.06653747558593,67.23688621520996,68.38044457253201,70.48824878351687
-114,152,153,68.74188232421875,68.94926362827094,,68.14293701956666,-55.03504993911746,31.39358127716765,-0.007022845165633278,2024-07-15 00:00:00-04:00,2024-07-16 00:00:00-04:00,1 days,,67.90938630719971,68.37797894559807,67.6768310546875,67.82347946166992,62.15970060863714,64.10736897990313
-111,156,157,69.86766815185547,70.34957867178016,70.34957867178016,69.73039636357281,-84.62029650648839,31.12822879484711,-0.010911270316264602,2024-07-19 00:00:00-04:00,2024-07-22 00:00:00-04:00,3 days,,69.52400226083702,69.4983321855537,68.29601249694824,68.41797180175782,66.25615617319761,62.72247230557745
-110,158,160,69.7689208984375,69.2225563611821,70.06170795634675,69.2225563611821,29.521974100977666,30.578124997116312,0.003846721137149965,2024-07-23 00:00:00-04:00,2024-07-25 00:00:00-04:00,2 days,,68.94283916279387,69.44796539184375,68.50438079833984,68.74681930541992,64.22207571500188,57.94957958525059
-106,176,177,72.74073028564453,73.16898036794353,73.16898036794353,71.81655656895792,-76.32736738225483,30.93285865856067,-0.009899123926561509,2024-08-16 00:00:00-04:00,2024-08-19 00:00:00-04:00,3 days,,71.36574863596272,72.1470171700709,68.50039939880371,68.67569236755371,70.55225676019114,71.28173212305403
-105,177,178,73.00813293457031,73.33444340121817,73.33444340121817,72.4438737278577,-64.99454002854026,30.73194103051558,-0.008478447461109224,2024-08-19 00:00:00-04:00,2024-08-20 00:00:00-04:00,1 days,,72.1470171700709,72.65952815685195,68.67569236755371,68.8782569885254,71.28173212305403,73.43402958526146
-101,180,181,74.85017395019531,75.05270339141616,75.05270339141616,74.24383568222162,-50.73585478631104,30.28038122300552,-0.006711209465435884,2024-08-22 00:00:00-04:00,2024-08-23 00:00:00-04:00,1 days,,73.97421311249009,74.26735688563899,69.40312347412109,69.70608596801758,75.95706996879532,76.25147380512341
-101,181,182,74.96900939941406,75.43299101475164,75.43299101475164,74.55876541791716,-77.24334723275638,30.381204083661473,-0.010201356831211966,2024-08-23 00:00:00-04:00,2024-08-26 00:00:00-04:00,3 days,,74.26735688563899,74.53326069774891,69.70608596801758,70.03328933715821,76.25147380512341,77.0826041371061
-99,182,183,75.29582977294922,75.71177664102923,,74.75113504858149,-71.07824600988903,29.899506069967735,-0.009535217064118275,2024-08-26 00:00:00-04:00,2024-08-27 00:00:00-04:00,1 days,,74.53326069774891,74.94722912545079,70.03328933715821,70.38667602539063,77.0826041371061,77.34138939361507
-98,183,184,75.39486694335938,75.64443042044765,75.64443042044765,75.1215294492,-54.06092303795694,29.603702283306177,-0.007316705953341828,2024-08-27 00:00:00-04:00,2024-08-28 00:00:00-04:00,1 days,,74.94722912545079,75.02447821475175,70.38667602539063,70.76474494934082,77.34138939361507,76.87400415002105
-98,184,185,75.34535217285156,75.20967257905556,75.765255671967,75.20967257905556,-16.212184659365924,29.508784851373797,-0.002195629205213637,2024-08-28 00:00:00-04:00,2024-08-29 00:00:00-04:00,1 days,,75.02447821475175,75.00764346766249,70.76474494934082,71.10286598205566,76.87400415002105,77.85408108610586
-97,185,186,75.68206024169922,75.7018728908112,,75.17649782025703,-31.290309991569437,29.368483027707022,-0.004262311495575217,2024-08-29 00:00:00-04:00,2024-08-30 00:00:00-04:00,1 days,,75.00764346766249,75.2463073715859,71.10286598205566,71.54676704406738,77.85408108610586,80.02594087655916
-95,188,189,76.494140625,76.1497534852955,76.97495286827619,76.1497534852955,3.714438390970823,29.002339880956146,0.0005111417837292912,2024-09-04 00:00:00-04:00,2024-09-05 00:00:00-04:00,1 days,,75.87468702430193,76.08562387356942,72.51060180664062,73.01766700744629,79.60360485872829,76.42393390329003
-92,196,197,79.78208923339844,78.98981333273441,80.36639008713126,79.5493565311414,43.67535278892171,29.21403007216845,0.005950359286066752,2024-09-16 00:00:00-04:00,2024-09-17 00:00:00-04:00,1 days,,79.27701201247811,79.30276435953098,76.28072471618653,76.52236862182617,83.82599577463488,65.60110017276179
-94,198,199,78.26686096191406,77.29632202818797,78.9303890857139,77.29632202818797,61.98478136811325,29.245878402139184,0.008425182250081084,2024-09-18 00:00:00-04:00,2024-09-19 00:00:00-04:00,1 days,,76.75163300901266,77.6513596962112,76.74470100402831,76.88334922790527,67.28174034989617,60.01203364008377
-93,202,203,79.89102172851562,80.30053915640053,80.30053915640053,79.18120091130169,-67.88075111789078,29.795630324594406,-0.009136202465091515,2024-09-24 00:00:00-04:00,2024-09-25 00:00:00-04:00,1 days,,78.8080881629354,79.5260769292767,77.51469383239746,77.77564964294433,69.86555260182539,72.11731134312961
-91,207,208,80.48522186279297,79.67612041602955,80.55851814010887,79.67612041602955,44.478867360725616,29.1493642947457,0.006072900725042631,2024-10-01 00:00:00-04:00,2024-10-02 00:00:00-04:00,1 days,,79.38198784133644,79.89151286328936,78.50949401855469,78.66745376586914,66.656659004631,61.12178734261394
-93,209,210,79.65333557128906,80.12721232142557,80.12721232142557,79.4163971962208,-73.78971967074051,29.719181908044924,-0.009961137725510879,2024-10-03 00:00:00-04:00,2024-10-04 00:00:00-04:00,1 days,,79.17945882115255,79.25571078979517,78.8392780303955,79.05220184326171,61.12178734261394,63.2694124448247
-89,226,227,81.95093536376953,81.47904039603134,82.18168971574984,81.47904039603134,12.908116443454738,29.090535685244554,0.0017697786556650965,2024-10-28 00:00:00-04:00,2024-10-29 00:00:00-04:00,1 days,,81.24482395612516,81.61867474352869,80.30448989868164,80.3257827758789,62.3055303663555,55.429319917657814
-86,238,239,84.67438507080078,84.73033290150632,84.73033290150632,83.88878939031129,-33.94912493191278,29.13761149123682,-0.0046620623972653125,2024-11-13 00:00:00-05:00,2024-11-14 00:00:00-05:00,1 days,,83.60827488657962,84.11879993633154,82.0390781402588,82.21635017395019,68.84529317176172,61.09630562012761
-84,243,244,86.3381576538086,87.06012184284435,87.06012184284435,85.11558422017939,-89.77590283444148,29.130910955437695,-0.012378776395883872,2024-11-20 00:00:00-05:00,2024-11-21 00:00:00-05:00,1 days,,84.4674050126244,85.63551250783087,82.94425315856934,83.20916938781738,70.44130499963379,73.8351214108674
-79,248,249,90.9927749633789,91.53944985665461,91.53944985665461,89.87270060878207,-72.02740809034616,28.8400915215653,-0.010019909199194254,2024-11-27 00:00:00-05:00,2024-11-29 00:00:00-05:00,2 days,,89.31711752615789,90.48076594895767,84.93137741088867,85.45378379821777,77.18431101014463,78.33791297427072
-78,250,251,91.74542999267578,92.05342579351071,92.05342579351071,91.3834586120337,-52.6962939677697,28.672621502645093,-0.0073637838142045385,2024-12-02 00:00:00-05:00,2024-12-03 00:00:00-05:00,1 days,,91.16013621820804,91.17895295792775,85.97123794555664,86.51889839172364,78.60102704100194,80.20972503784614
-75,254,255,94.77588653564453,94.03660605703959,95.06607011248333,94.03660605703959,27.124162006467852,28.32187388890262,0.0038159019835024306,2024-12-06 00:00:00-05:00,2024-12-09 00:00:00-05:00,3 days,,93.69345137189167,94.31290169939331,88.2262508392334,88.67190551757812,83.72271477388182,71.02620886223367
-76,256,257,93.63699340820312,94.19852468458295,94.19852468458295,92.28666295067728,-71.22737575497014,28.550998750103485,-0.010008889419160873,2024-12-10 00:00:00-05:00,2024-12-11 00:00:00-05:00,1 days,,91.64937570604205,92.8362999169959,89.18391342163086,89.67759971618652,72.74030950381065,73.69466166483095
-75,257,258,94.04302978515625,94.7560772769764,,93.23664666259951,-81.79842794583104,28.319866059319896,-0.011597305068073882,2024-12-11 00:00:00-05:00,2024-12-12 00:00:00-05:00,1 days,,92.8362999169959,93.39484855236039,89.67759971618652,90.10295181274414,73.69466166483095,68.23551168522305
-74,259,260,93.54669952392578,94.06927271139865,94.06927271139865,92.73750414723037,-66.43757976382057,27.767163890828016,-0.00959740040549359,2024-12-13 00:00:00-05:00,2024-12-16 00:00:00-05:00,3 days,,92.2935812925076,92.65143064787723,90.59757003784179,91.1338508605957,69.27466636395778,70.99613611099961
-73,260,261,94.16207122802734,94.44196839997433,94.44196839997433,93.09906508590151,-47.96868333781813,27.536189785688244,-0.006978449418468211,2024-12-16 00:00:00-05:00,2024-12-17 00:00:00-05:00,1 days,,92.65143064787723,93.28317860371988,91.1338508605957,91.70584449768066,70.99613611099961,72.4697121516353
-72,261,262,94.70796966552734,95.04096385233481,95.04096385233481,93.72262491587361,-51.29942787670987,27.32384642657215,-0.007523042214498296,2024-12-17 00:00:00-05:00,2024-12-18 00:00:00-05:00,1 days,,93.28317860371988,94.06927249228539,91.70584449768066,92.0602523803711,72.4697121516353,61.10285574693578
-73,284,285,93.10997009277344,93.34223704972307,93.34223704972307,92.13034555594902,-44.17751010012747,27.222022242804492,-0.006499533515386475,2025-01-23 00:00:00-05:00,2025-01-24 00:00:00-05:00,1 days,,91.726381724691,92.29658651874686,90.9780044555664,91.19685935974121,60.232229693544014,63.70234394734812
-70,288,289,96.7724380493164,97.1699511602139,97.1699511602139,96.26104035006882,-54.97785225215869,27.151934489334245,-0.008115925413766076,2025-01-29 00:00:00-05:00,2025-01-30 00:00:00-05:00,1 days,,95.95807008002048,96.25383870109647,91.94424018859863,92.34522590637206,71.10957181623,73.96197410800809
-67,292,293,100.0180435180664,100.60959226705053,100.60959226705053,97.8910313506056,-66.51786937714198,26.884103195205668,-0.009926249160982968,2025-02-04 00:00:00-05:00,2025-02-05 00:00:00-05:00,1 days,,96.98484437845728,99.33021773372118,93.7020263671875,94.24941062927246,76.74698497516897,79.75272168876766
-65,294,295,102.08251953125,101.13860537098664,102.80904719259703,101.13860537098664,34.935674179827714,26.41874623729076,0.005265072932436343,2025-02-06 00:00:00-05:00,2025-02-07 00:00:00-05:00,1 days,,100.58179143044984,101.49295519531282,94.84691848754883,95.31092987060546,80.3829291692281,70.13554541277965
-65,302,303,103.22393798828125,98.04288800976896,103.81350056675639,102.60161534772531,310.60356122355245,26.16468737974653,0.04629271484545268,2025-02-19 00:00:00-05:00,2025-02-20 00:00:00-05:00,1 days,,102.1976536080483,102.32321320743067,99.42450256347657,99.62201728820801,70.16696799360467,44.54918770405845
75,305,306,92.97101593017578,94.81788529148506,92.58244535941269,94.81788529148506,110.34686691494642,28.168335183249127,0.015825271393946377,2025-02-24 00:00:00-05:00,2025-02-25 00:00:00-05:00,1 days,,92.58244535941269,91.59536034199937,99.61606216430664,99.6304542541504,36.819586539514695,48.34532854938304
83,323,324,85.16967010498047,84.87607250962421,,86.00514721426615,-52.59619368859399,28.22759327402438,-0.0074403139028762525,2025-03-20 00:00:00-04:00,2025-03-21 00:00:00-04:00,1 days,,85.0471015065263,84.31806980138225,90.72490692138672,90.2999080657959,34.77909291344403,36.10735280011998
83,329,330,84.7466812133789,84.35853646199381,,85.58842913804439,-60.28748049907506,28.071466134111873,-0.008570898309362687,2025-03-28 00:00:00-04:00,2025-03-31 00:00:00-04:00,3 days,,84.49637475613777,84.12812232880516,87.64268531799317,87.16830635070801,37.483751241810836,45.89196117177982
86,336,337,81.40260314941406,85.1982874360302,79.90223799415055,85.1982874360302,297.77349546829134,28.655353180696412,0.042535279849587625,2025-04-08 00:00:00-04:00,2025-04-09 00:00:00-04:00,1 days,,79.90223799415055,78.15107593560397,85.35708923339844,85.58765869140625,35.13593600029915,52.994649387896246
-76,347,348,95.38604736328125,95.84585646164598,95.84585646164598,93.84239540809303,-64.01274085710838,29.06724938138894,-0.008830147902100897,2025-04-24 00:00:00-04:00,2025-04-25 00:00:00-04:00,1 days,,93.17457505690871,93.98471773329928,89.44482765197753,89.91558685302735,60.86978089887353,58.89173708703132
-75,350,351,95.5851058959961,95.67766712276256,95.67766712276256,94.31465078310114,-35.63150796029854,28.689415952813796,-0.0049703012655645,2025-04-29 00:00:00-04:00,2025-04-30 00:00:00-04:00,1 days,,93.860312003214,94.62168967430942,90.82724838256836,91.24625434875489,60.74728234303331,63.057118452139214
-72,354,356,98.8595199584961,97.90730605697091,99.03220490265974,97.90730605697091,40.224977963585985,28.33442294622725,0.005651253917971633,2025-05-05 00:00:00-04:00,2025-05-07 00:00:00-04:00,2 days,,97.53233977507463,97.50298414866066,93.00189895629883,94.58237762451172,66.99135157131686,64.66606288725019
-73,356,357,98.36189270019531,98.66345872243309,98.66345872243309,97.79310279210377,-50.780020931061614,28.765701307703747,-0.007072014435542317,2025-05-07 00:00:00-04:00,2025-05-08 00:00:00-04:00,1 days,,97.50298414866066,97.85828619944866,94.58237762451172,94.97202339172364,64.66606288725019,59.367157269698126
-73,363,368,98.01107788085938,94.80033280398348,98.77579923578304,94.80033280398348,206.2339246519533,28.15046595998706,0.02882451980520383,2025-05-16 00:00:00-04:00,2025-05-23 00:00:00-04:00,7 days,,93.47517732671696,95.08092802906114,96.2486557006836,96.87774810791015,60.93407131263403,52.735897871874215
-74,373,374,99.53751373291016,99.76848224469973,99.76848224469973,97.85070989693725,-46.58895727711442,29.497287404686265,-0.006325057560048745,2025-06-02 00:00:00-04:00,2025-06-03 00:00:00-04:00,1 days,,97.21145244768309,98.51689718095074,97.22239303588867,97.26676864624024,64.00875382983058,64.63670088651126
-73,374,376,99.74703216552734,99.02720545693045,100.55813028486958,99.02720545693045,23.526311034694707,29.02103869287884,0.0032309556119641354,2025-06-03 00:00:00-04:00,2025-06-05 00:00:00-04:00,2 days,,98.51689718095074,98.67403157460923,97.26676864624024,97.28702430725097,64.63670088651126,54.303082371541954
78,382,383,94.21994018554688,95.11110952087867,93.60487598998094,95.11110952087867,39.97556440167769,29.535643754202386,0.005439477406902011,2025-06-13 00:00:00-04:00,2025-06-16 00:00:00-04:00,3 days,,93.60487598998094,93.50112042027027,97.16655616760254,96.96951675415039,39.17361521781488,38.60553651353529
78,383,384,94.0702896118164,93.50112042027027,93.50112042027027,94.57935006818518,-73.65633690560426,29.261139965005523,-0.0100383661569135,2025-06-16 00:00:00-04:00,2025-06-17 00:00:00-04:00,1 days,,93.50112042027027,93.14844251724935,96.96951675415039,96.77646751403809,38.60553651353529,38.44541837290944
