ticker,composite_score,range_score,reversion_score,vol_consistency,liquidity_score,strategy_return,sharpe_ratio,max_drawdown,alpha,current_price,avg_volume,market_cap
PFE,82.36932033926848,98.20656518691943,100,73.87355207331053,100.0,0,0,-100,0,25.270000457763672,45225575.488,110880436876.50798
USO,80.67064548127485,96.21732687057775,100,69.77887179255248,100.0,0,0,-100,0,71.05999755859375,4474676.076,32925682880.551285
PSA,80.26456335121873,90.89448590031415,100,75.31847682080624,100.0,0,0,-100,0,271.1499938964844,778764.434,22387548758.254585
AMT,80.22250711405836,90.21101449166714,100,75.15821540949992,100.0,0,0,-100,0,176.27000427246094,2506343.812,49305719164.64077
PG,80.05032034580812,97.99886182488677,100,67.58820401213808,100.0,0,0,-100,0,147.44000244140625,7324824.616,115460664131.59248
PEP,79.87130113724493,93.9514147913051,100,71.3835134050498,100.0,0,0,-100,0,149.50999450683594,6773626.53,101175941805.03786
UNP,79.81338394553171,96.5085653881749,100,66.69018846722571,100.0,0,0,-100,0,231.36000061035156,2895826.734,66170296581.56953
MRK,79.78186268346046,96.81936561714404,100,63.552183469696,100.0,0,0,-100,0,101.83000183105469,11772049.582,112805599014.49059
EOG,79.45053964597419,96.18759589555967,100,62.09439901310091,100.0,0,0,-100,0,109.70999908447266,3378265.404,39442892632.51009
CL,79.20832392689026,94.05105641083927,100,68.07293183748136,100.0,0,0,-100,0,79.94000244140625,4899873.284,42735248627.243546
AVB,78.55262668014899,91.84306621310152,100,66.54546274628136,100.0,0,0,-100,0,179.64999389648438,777201.55,15081016602.659454
ED,78.45929075247773,86.04398115887537,100,75.74829001965148,100.0,0,0,-100,0,97.87999725341797,2212920.838,21052852476.953144
EWZ,78.43309278904582,86.85050186803203,100,75.77045417522032,100.0,0,0,-100,0,33.400001525878906,22941923.38,63248962303.739655
MCD,78.41359594954109,89.46251643080427,100,71.10561257125144,100.0,0,0,-100,0,303.57000732421875,3410310.474,97528334749.36362
LMT,78.08407099517225,97.82840478909584,100,55.883933062535526,100.0,0,0,-100,0,439.19000244140625,1311929.92,60869178093.867065
MDLZ,77.90328260327082,83.63585328706193,100,75.9411022302514,100.0,0,0,-100,0,56.400001525878906,7794224.718,50084849762.89215
O,77.73481613551621,84.31493838810118,100,75.35100519235891,100.0,0,0,-100,0,57.43000030517578,5662062.178,30129851726.840878
EQIX,77.59869218291004,93.06917746128941,100,57.84877842570838,100.0,0,0,-100,0,733.280029296875,549902.474,44543123397.59546
HON,77.152017889181,93.81239595793573,100,57.46825088605712,100.0,0,0,-100,0,190.22000122070312,3825609.576,74529617483.45737
CCI,77.02475353479088,83.52539225145107,100,69.34632995391505,100.0,0,0,-100,0,88.5,3008831.41,29247077097.71356
UNG,76.99268646182794,71.20786331240012,100,75.30336958624875,100.0,0,0,-100,0,15.210000038146973,8075633.612,12982914661.776514
PLD,76.8315057301136,85.58247134265801,100,64.40709903586455,100.0,0,0,-100,0,128.92999267578125,3937352.01,44007012912.68259
GIS,76.4460897759292,78.53431259170682,100,75.10264496438751,100.0,0,0,-100,0,47.06999969482422,4768077.056,27336616611.27312
KMB,76.33807458658295,94.09259021649842,100,53.556292800080506,100.0,0,0,-100,0,108.54000091552734,2469551.538,30746622752.890617
XLRE,76.30420088269841,84.90926779023916,100,68.8841078255876,100.0,0,0,-100,0,41.09000015258789,6314686.5,24860962683.646206
ES,75.9993715404867,79.59877216957267,100,70.12131779577777,100.0,0,0,-100,0,66.55000305175781,2550997.74,15251868058.505081
CVX,75.87008403848607,85.07799101993349,100,63.44351034005585,100.0,0,0,-100,0,152.5399932861328,8392872.726,121212338041.18513
PSX,75.64204318976975,83.40507240090389,100,59.813988181798535,100.0,0,0,-100,0,139.75999450683594,2883150.66,36094458114.571014
BA,75.3242754589763,79.38860245679048,100,62.33127382210286,100.0,0,0,-100,0,186.4600067138672,8727739.6,162570713277.51343
WY,75.2963527632057,74.54398797140483,100,74.17978394781542,100.0,0,0,-100,0,22.1200008392334,3981870.242,11081989719.038954
XOM,74.99729839283313,77.93135823991622,100,69.43305706842845,100.0,0,0,-100,0,116.62999725341797,16443782.86,175739036062.54947
XLP,74.60926076833572,82.16735577271395,100,67.10586027999287,100.0,0,0,-100,0,79.29000091552734,12484664.57,96059014379.06328
COP,74.5565199811055,83.8188040691646,100,55.931331212822975,100.0,0,0,-100,0,90.26000213623047,6858140.448,67934551780.92302
TMO,74.19319855984106,81.13780224344372,100,58.28929622230947,100.0,0,0,-100,0,585.1500244140625,1909157.078,98178460398.2626
XLE,74.07256408289301,84.66916865798196,100,55.71964571274882,100.0,0,0,-100,0,91.31999969482422,15878238.198,135649602465.86699
XLB,73.90610959522603,87.38087872196337,100,54.20595448142476,100.0,0,0,-100,0,89.18000030517578,5483357.854,47504251357.62776
ABT,73.61171155419126,73.52546036291734,100,69.23572726888352,100.0,0,0,-100,0,128.00999450683594,6023135.37,71160509186.16487
INDA,73.30245212952462,83.17023812551113,100,62.69231325764806,100.0,0,0,-100,0,54.33000183105469,5383905.694,28460443931.121403
SLB,73.14695258981888,74.17245790103618,100,60.75492088939133,100.0,0,0,-100,0,36.599998474121094,13500033.84,53724641665.38011
CVS,72.96380188523139,74.5138495610621,100,59.63573854832403,100.0,0,0,-100,0,79.0999984741211,10356612.002,63703085714.26735
DE,72.48606927343661,69.41586115523549,100,67.3914250788929,100.0,0,0,-100,0,468.1099853515625,1423958.382,60334436342.8012
KO,72.41904854935675,70.57769475297602,100,70.95505581825964,100.0,0,0,-100,0,71.94999694824219,15314382.894,99186196680.00703
AMGN,72.38395939576583,68.27445398896943,100,68.36195176613285,100.0,0,0,-100,0,337.489990234375,2703198.792,77202111650.60219
SO,72.24774889288439,66.19831316587783,100,75.19214003694218,100.0,0,0,-100,0,89.01000213623047,4756148.538,38985415720.84635
OXY,72.06780883954582,75.80185183313395,100,55.03929507070761,100.0,0,0,-100,0,42.34000015258789,10491724.58,52204061643.746666
XLV,72.06118938026827,78.432916990157,100,59.04127801757278,100.0,0,0,-100,0,155.2899932861328,9464209.172,132520948768.50484
WEC,71.68295210117421,61.763446834328285,100,78.89636005006543,100.0,0,0,-100,0,109.33999633789062,2133237.658,19818415550.007244
MPC,70.9905665296499,64.86547659872497,100,62.814150993838936,100.0,0,0,-100,0,196.13999938964844,2566927.968,41191399725.35996
DUK,70.4855197951109,59.56418157891164,100,76.48756366165765,100.0,0,0,-100,0,120.75,3239740.504,34810358206.99339
IWM,70.444356489664,65.49178371027695,100,66.75830729653507,100.0,0,0,-100,0,245.6199951171875,33768797.052,716956151770.4863
UPS,70.06743818427326,68.41536666238363,100,58.17687226982305,100.0,0,0,-100,0,95.22000122070312,5398008.068,58548098123.995804
MSFT,69.91830421941991,66.17619320908722,100,62.64417433939573,100.0,0,0,-100,0,486.739990234375,21503117.668,929549188802.4814
V,69.67260049118707,68.22829075994315,100,59.10639781777478,100.0,0,0,-100,0,330.3900146484375,6625769.526,201671003481.85217
MA,68.80358704869316,65.20832476303633,100,59.219309230610364,100.0,0,0,-100,0,543.969970703125,2608253.044,132625955004.76608
JNJ,68.5717817006571,62.58466585051021,100,62.9340805152207,100.0,0,0,-100,0,205.33999633789062,7965053.062,124385104796.4628
D,68.42016486242116,56.49761499450376,100,67.65963926332091,100.0,0,0,-100,0,60.79999923706055,4828877.708,25239077982.2495
XEL,68.33113821318545,60.818679414601505,100,61.79269746990086,100.0,0,0,-100,0,79.7300033569336,4067022.938,25679154032.512817
TIPS,68.24699203438813,67.84141587285437,100,39.47258631868792,0.0005000879423468094,0,0,-100,0,0.029999999329447746,15665.11,50008.79423468094
SOYB,67.74541551610213,84.88245800056193,100,77.20126112201969,1.0188431166449357,0,0,-100,0,23.469999313354492,44261.26,101884311.66449356
CORN,67.51659563834923,81.06519160435045,100,81.14192000144055,1.3481700577840843,0,0,-100,0,17.90730094909668,71349.394,134817005.7784084
XLU,67.31111173275269,51.2814418742473,100,74.24088751359963,100.0,0,0,-100,0,88.51000213623047,11936662.576,87186586736.7656
EWJ,67.29136088957969,61.33846274930852,100,62.94090393685203,100.0,0,0,-100,0,82.52999877929688,6002776.344,41766568789.44456
NEE,67.26262947050878,46.885327163433566,100,74.39861330459854,100.0,0,0,-100,0,84.6500015258789,11022424.374,76142403403.27205
VLO,67.1922043227712,48.45642734633533,100,66.95454770231507,100.0,0,0,-100,0,180.5399932861328,3017035.992,41573064874.599525
BRK-B,66.6214836646941,57.41322756370628,100,61.29350278626544,100.0,0,0,-100,0,508.54998779296875,4179267.444,192707757346.58234
EWA,66.34895558195937,77.48549526087096,100,55.44096841533682,54.83252324175182,0,0,-100,0,25.729999542236328,2229304.886,5483252324.175182
XLY,66.12048338682285,58.84487948009591,100,56.39241989729139,100.0,0,0,-100,0,236.60000610351562,4308931.512,87639504756.92415
EFA,65.64141725697456,61.417707101171295,100,55.032818110444836,100.0,0,0,-100,0,94.72000122070312,13842161.9,111471031139.42184
DIA,65.61384287570608,65.17793235769608,100,47.75278843875268,100.0,0,0,-100,0,473.32000732421875,3806972.93,158671480162.8616
EEM,64.88187434402786,54.437002763095045,100,61.40953116605425,100.0,0,0,-100,0,54.279998779296875,27234616.44,119165283771.6733
WEAT,64.59579179437078,69.94940990878243,100,77.99686386994792,3.7732887627682534,0,0,-100,0,20.739999771118164,151674.914,377328876.2768253
AEP,64.00554225135505,38.02623699225176,100,75.41719069230679,100.0,0,0,-100,0,120.51000213623047,3309146.93,31464676227.268154
XLI,63.79123557302657,56.66173913526986,100,49.897858004308304,100.0,0,0,-100,0,151.44000244140625,9540925.348,126380553144.38103
COST,63.69982508689969,42.58515110676211,100,66.63184937063215,100.0,0,0,-100,0,911.9600219726562,2126642.72,186421729805.54053
AAPL,62.89862831772142,49.140274215869795,100,50.720367217521044,100.0,0,0,-100,0,283.1000061035156,56146668.968,1194359932973.88
SPG,62.813194529552845,43.352115369085496,100,59.57524730497967,100.0,0,0,-100,0,185.13999938964844,1528097.482,23811415149.494583
AMZN,62.65069449823958,38.525261808758614,100,63.60745785813352,100.0,0,0,-100,0,233.8800048828125,43153910.93,851385160234.6155
MO,62.57442396313535,37.21586899985887,100,70.39931930759047,100.0,0,0,-100,0,59.13999938964844,9278306.672,45304946620.62412
XLF,61.82516503775704,49.02441550137535,100,51.3810190736486,100.0,0,0,-100,0,52.88999938964844,41844861.538,192133046479.71576
DBA,61.48036265734613,69.81018125750785,100,65.53931177253963,9.427003881356553,0,0,-100,0,26.290000915527344,386645.302,942700388.1356552
EWC,61.224201385569145,45.78509422564774,100,59.40378861572743,89.74362527942635,0,0,-100,0,52.18000030517578,2197393.41,8974362527.942635
TSLA,60.45496286917581,17.412339203176174,100,67.43510418143725,100.0,0,0,-100,0,430.1400146484375,97834061.774,2759724749862.2134
EWG,60.38531083097757,52.644640326515635,100,59.29284987206708,63.791768141817286,0,0,-100,0,40.52000045776367,1764690.57,6379176814.181728
XLK,60.38306001545795,41.63782889740257,100,52.33456249943609,100.0,0,0,-100,0,286.3500061035156,6254803.89,144629470076.6746
EWU,60.21373118920049,57.002106306970376,100,55.136561958173,58.774257255232264,0,0,-100,0,42.93000030517578,1629484.324,5877425725.523227
ABBV,59.61340320019313,32.46771784986289,100,59.019245332679915,100.0,0,0,-100,0,225.11000061035156,5940829.088,107822034687.83566
QQQ,58.306724490736066,38.28003569391421,100,48.7500663254507,100.0,0,0,-100,0,617.1699829101562,42633648.888,2125118134265.028
SPY,58.23014031733784,47.19367992648653,100,37.538349955641884,100.0,0,0,-100,0,680.27001953125,65063983.934,3673969621556.181
FXI,56.781860727485785,27.297250537276454,100,58.37699833633806,100.0,0,0,-100,0,39.63999938964844,43071169.188,131540001464.59138
BAC,55.9796580030848,19.69340812482163,100,60.62099458801392,100.0,0,0,-100,0,53.2400016784668,39056727.906,160374354299.51547
LLY,55.38888567159317,16.83910186807003,100,57.17330005083273,100.0,0,0,-100,0,1057.8900146484375,3584232.508,282900586306.1387
PM,54.553501400332735,16.4600190652298,100,59.44898661232465,100.0,0,0,-100,0,156.14999389648438,5704945.798,73480331262.1602
NVDA,52.65064168175547,0.0,100,61.45296257437666,100.0,0,0,-100,0,179.9199981689453,307673753.736,3474758020493.9683
GOOGL,52.32201490787603,0.0,100,69.61997915098229,100.0,0,0,-100,0,314.8900146484375,31866477.054,579852752789.9648
SLV,52.189536028466385,0.0,100,72.54836846734483,100.0,0,0,-100,0,52.52000045776367,23141615.628,71599604846.73238
TLT,51.74888769048593,0.0,100,77.39427395274033,100.0,0,0,-100,0,88.7699966430664,38975210.11576846,342146383732.6148
IEF,51.20562842983217,0.0,100,78.14902692532453,100.0,0,0,-100,0,96.69000244140625,8183108.139720559,75253428698.17055
WFC,51.153338162079784,1.5026222074209272,100,61.995862142849184,100.0,0,0,-100,0,85.4000015258789,17277148.974,112082847258.0594
CAT,50.9627839529936,0.0,100,63.38820669331167,100.0,0,0,-100,0,568.0599975585938,2672166.332,97856428846.61462
AGG,50.85204060797074,0.0,100,76.80965913628751,100.0,0,0,-100,0,100.05999755859375,8465539.357285429,80529198062.17613
SHY,50.21731187953918,0.0,100,75.37885673549175,100.0,0,0,-100,0,82.76000213623047,4037547.638722555,32066520462.821613
LQD,50.09608043069239,0.0,100,72.03475441754033,100.0,0,0,-100,0,110.8499984741211,27306569.502994012,286424728544.6273
META,49.63169097121517,0.0,100,54.123618263191574,100.0,0,0,-100,0,640.8699951171875,15138686.866,855446563534.9154
AXP,49.45959362223372,0.0,100,57.158065364955775,100.0,0,0,-100,0,360.30999755859375,2851223.846,75310434846.41159
GS,49.372162425165406,0.0,100,55.370724555837896,100.0,0,0,-100,0,810.8599853515625,2260307.574,122444260279.56433
MS,49.12099302252035,0.0,100,54.85693345960503,100.0,0,0,-100,0,168.47000122070312,6704874.028,75050022148.12576
WMT,49.11893554894785,0.0,100,57.873863677554844,100.0,0,0,-100,0,111.52999877929688,18053829.884,145993231257.6662
GLD,49.0870808216796,0.0,100,63.24568998039018,100.0,0,0,-100,0,389.75,9250161.832,258537535207.46307
JPM,48.806676282450255,0.0,100,55.09837957905053,100.0,0,0,-100,0,308.9200134277344,9164956.074,210524852887.95816
RTX,47.97273185741688,0.0,100,51.70091113366658,100.0,0,0,-100,0,168.02000427246094,5801783.572,67660809151.16463
MMM,47.4815481733474,0.0,100,46.142024765577496,100.0,0,0,-100,0,170.47999572753906,4131008.248,49348206964.08589
UNH,47.26485741637554,0.0,100,44.272086448189576,100.0,0,0,-100,0,323.2099914550781,7677070.908183632,298386177472.6979
MUB,46.1345100351767,0.0,100,53.644466209784625,100.0,0,0,-100,0,106.87000274658203,4317928.23752495,44654195910.3843
HYG,45.518409209134134,0.0,100,50.0689505927198,100.0,0,0,-100,0,80.47000122070312,38054730.36327346,284754187827.35913
