symbol,category,excess_return,strategy_return,buy_hold_return,win_rate,total_trades,sharpe,volatility_score,years,max_drawdown
WULF,Crypto Mining,13041.305545163037,14522.383516720543,1481.0779715575063,77.63975155279503,161,0.6134599933751552,85.55463146429962,31.463381245722108,-54.34685935868091
NOK,Meme Potential,3355.2851493148255,4005.615256661372,650.3301073465466,56.375838926174495,149,0.2563981586381728,37.09801263628616,31.21971252566735,-91.2961036845462
WKHS,SPAC Volatility,1132.9883328401838,1033.0332395072573,-99.95509333292644,53.37423312883436,163,0.2635519790034478,100.0,15.307323750855579,-93.07860615190748
EQT,Energy Volatility,1038.2962432249333,19691.91337936903,18653.617136144097,62.67281105990783,217,0.3397472781191332,33.95532559689805,45.51403148528405,-83.97888873745529
CLSK,Crypto Mining,675.5685459060237,622.5018789850438,-53.06666692097981,51.28205128205128,39,0.16408845924727794,100.0,8.83504449007529,-83.75972407510893
NAIL,Leveraged Cycles,469.8586068480612,589.4093684712957,119.55076162323448,75.92592592592592,54,0.387480499960289,67.79299139994463,10.094455852156058,-63.733684248734214
TNA,Leveraged Cycles,346.9856701212003,1159.0375039375751,812.0518338163748,64.93506493506493,77,0.22744689803887533,52.767158566028385,16.826830937713893,-80.5914685576649
VKTX,Biotech Rockets,194.00321040945482,577.8967661955633,383.89355578610844,63.934426229508205,61,0.28921743576164904,78.9670464599459,10.401095140314853,-61.14361807011417
SM,Energy Volatility,190.93312292084238,831.3642709307384,640.431148009896,57.23270440251572,159,0.09009783160491291,49.09865198790315,32.761122518822724,-97.73890744325288
SAVA,Biotech Rockets,169.6088323842257,73.88367287214209,-95.72515951208361,64.74820143884892,139,0.003865706004473006,100.0,25.190965092402465,-90.03685916444692
RXRX,Biotech Rockets,159.02323090117608,71.93409875552356,-87.08913214565253,50.0,24,0.21725292290046935,79.47460638024718,4.435318275154004,-47.29413686432532
NTLA,Biotech Rockets,126.17823586731562,73.80266986593386,-52.375566001381756,66.26506024096386,83,0.2027678562411879,64.27094851981145,9.371663244353183,-34.77053174649545
KTTA,Biotech Rockets,119.25285523372202,20.28856948963398,-98.96428574408803,42.10526315789473,19,0.032439045420038295,100.0,4.0219028062970565,-77.7125706017496
EDIT,Biotech Rockets,79.35861934860408,-15.129173043912047,-94.48779239251613,63.29113924050633,79,-0.2528209720825906,63.28487678738654,9.631759069130732,-34.11261697914206
BFRI,Crypto Mining,73.50687642781511,-25.845359986499773,-99.35223641431489,42.10526315789473,19,-0.1590125015931606,100.0,3.890485968514716,-59.24280700606168
BBBY,Meme Potential,73.41163496262647,53.687499399335124,-19.724135563291345,61.904761904761905,126,-0.004932159197923798,63.20344816487664,23.315537303216974,-72.31708922891004
BEAM,Biotech Rockets,68.26914787110074,118.76977319023551,50.50062531913477,48.0,25,0.17585162408945895,59.606913749570005,5.623545516769336,-78.50239613130869
RIVN,SPAC Volatility,67.8596289846298,-5.539845082703076,-73.39947406733287,55.00000000000001,20,-0.10822169187285441,56.17446958068344,3.8603696098562628,-48.53255558926289
