Ticker,Strategy_Return,Buy_Hold,Alpha,Sharpe,Max_DD,Trades,Win_Rate,Avg_Trade,Volatility,Days_Tested
PEP,0.0,-6.048585208694901,6.048585208694901,,-0.0,0,,,19.766826453906532,500
TLT,0.0,3.780606564638389,-3.780606564638389,,-0.0,0,,,13.592830032241105,500
USO,0.0,3.7826731294222427,-3.7826731294222427,,-0.0,0,,,29.083446103886608,500
NNN,0.0,8.323965325232585,-8.323965325232585,,-0.0,0,,,18.738566146725606,500
ED,0.0,13.956039085330008,-13.956039085330008,,-0.0,0,,,18.38766863476851,500
XLRE,0.0,15.090744506916987,-15.090744506916987,,-0.0,0,,,16.939606271394368,500
IYR,-0.9491392056669429,15.509626471506333,-16.458765677173275,-0.9970667540774938,-0.9491392056669379,2,0.0,-2.5244555179190997,16.9159067006895,500
VNQ,-0.9396874425697933,16.031440333204472,-16.971127775774264,-0.9952286417321511,-0.9396874425697921,2,0.0,-2.543728596681949,16.99916511312406,500
XLP,0.0,17.832630867397082,-17.832630867397082,,-0.0,0,,,12.20128873587618,500
VZ,0.0,22.099253724944347,-22.099253724944347,,-0.0,0,,,21.125359219366167,500
ADC,0.0,32.57779780396992,-32.57779780396992,,-0.0,0,,,17.78422198689426,500
SO,1.0638039185511479,33.801686834122165,-32.73788291557102,1.4671033471565518,-0.10417579372040686,1,100.0,4.890903617987807,17.434453705024396,500
