pair,correlation,mean_reversion_score,pct_in_1std,pct_in_2std,current_zscore,spread_mean,spread_std,days_analyzed,category
TLT/IEF,0.9250905958855166,1.996007984031936,59.68063872255489,99.00199600798403,-1.207775200784717,0.9572087765114754,0.032390213994124804,501,Bond Spreads
IEF/SHY,0.8547305662758076,8.183632734530939,67.26546906187625,96.40718562874252,0.8502781170626555,1.155080176818008,0.015568847759347245,501,Bond Spreads
LQD/HYG,0.6883823455586088,2.3952095808383236,60.079840319361274,98.20359281437125,-0.739738790879822,1.4012478331546434,0.03205979435295209,501,Bond Spreads
AGG/TLT,0.9374798809645178,2.9940119760479043,60.67864271457086,98.80239520958084,1.08238138910606,1.0840932229610458,0.03980981134023109,501,Bond Spreads
XLU/XLP,0.5103647650750656,4.2,71.2,92.4,1.7591922392295352,0.9641835512357795,0.08645926363239556,500,Sector Pairs
XLF/KRE,0.7855314763510224,4.8,68.4,96.2,-0.10676485052270653,0.8354198675604514,0.04552842883687708,500,Sector Pairs
VNQ/IYR,0.9965571276795147,9.0,67.80000000000001,96.6,0.986327132918905,0.9402345562914751,0.0023807287063635925,500,Sector Pairs
GLD/GDX,0.8154714116605818,4.8,69.8,93.2,-2.339854354542046,6.147145025367286,0.6159170179361867,500,Sector Pairs
XLE/OIH,0.875004014805375,4.0,56.99999999999999,99.4,-0.049280925023065546,0.31329325730382895,0.03310714443255701,500,Sector Pairs
EWC/EWA,0.8360105227730127,3.4000000000000004,75.4,97.2,3.074501030673334,1.6760542222830666,0.11446693999637163,500,Country Pairs
EWG/EWQ,0.8758561187611408,0.2,52.0,100.0,0.4881922445920804,0.8735439562194144,0.07960628864594993,500,Country Pairs
EWJ/EWY,0.5705477010410035,4.0,63.800000000000004,95.6,-1.815863178589082,1.0956815904032249,0.10185542866384921,500,Country Pairs
USO/BNO,0.9937160933049133,8.0,66.4,95.8,-1.7915804456216948,2.471028165306158,0.02044728312560242,500,Commodity Spreads
GLD/SLV,0.7327529417969546,5.2,76.2,91.2,-2.4417961420676515,8.826326220738792,0.5755369084031325,500,Commodity Spreads
CORN/WEAT,0.5966221003060608,1.7999999999999998,63.2,97.6,1.8622488587648423,0.759784316022577,0.05571993443818358,500,Commodity Spreads
VTV/VUG,0.6736278589931383,2.8000000000000003,61.6,98.6,-1.5335112578101004,0.42774734581089263,0.026623055900051793,500,Style Box Pairs
IWD/IWF,0.7009299734605856,2.4,61.0,98.4,-1.439015398960344,0.482350133715941,0.029985468611676863,500,Style Box Pairs
IWM/MDY,0.957115766400322,7.3999999999999995,73.2,93.2,2.0278491190120307,0.3866770904454554,0.010451483858504494,500,Style Box Pairs
