,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_λ,Exit_λ
0,-39,6,6,238.5500030517578,234.84002380371095,242.18999633789062,234.84002380371095,107.76476857910112,36.924422094726566,0.011583312341171503,2023-12-12 00:00:00-05:00,2023-12-12 00:00:00-05:00,0 days 00:00:00,,236.44550247192382,236.44550247192382
1,20,9,16,251.2100067138672,261.0920031738281,246.02900299072266,261.0920031738281,177.14784880371081,20.492080395507813,0.0352589156620431,2023-12-15 00:00:00-05:00,2023-12-27 00:00:00-05:00,12 days 00:00:00,,243.850496673584,253.82698669433594
2,29,17,17,263.6600036621094,258.0014846801758,258.0014846801758,268.31703796386716,-194.35341679992644,30.25636632385254,-0.02541850058989916,2023-12-28 00:00:00-05:00,2023-12-28 00:00:00-05:00,0 days 00:00:00,,258.23899841308594,258.23899841308594
3,-19,18,20,255.10000610351562,243.05279296874994,258.2435925292969,243.05279296874994,209.9672431958019,18.929806364746092,0.0433199030663169,2023-12-29 00:00:00-05:00,2024-01-03 00:00:00-05:00,5 days 00:00:00,,246.34899368286133,244.65800018310546
4,-21,21,26,239.25,228.9119970703125,243.21899688720703,228.9119970703125,197.4352576464842,19.662803876953127,0.03929646368044672,2024-01-04 00:00:00-05:00,2024-01-11 00:00:00-05:00,7 days 00:00:00,,233.3020050048828,231.6244987487793
5,-23,27,27,220.0800018310547,218.13120117187498,231.7644012451172,218.13120117187498,24.66469982299857,20.157715338134764,0.004872674683077645,2024-01-12 00:00:00-05:00,2024-01-12 00:00:00-05:00,0 days 00:00:00,,224.16200256347656,224.16200256347656
6,-24,28,28,215.10000610351562,223.2677993774414,223.2677993774414,210.1343994140625,-217.06869323730467,21.041654663085936,-0.04204801779752181,2024-01-16 00:00:00-05:00,2024-01-16 00:00:00-05:00,0 days 00:00:00,,214.385498046875,214.385498046875
7,-38,31,32,209.99000549316406,214.54350204467772,214.54350204467772,206.55301055908205,-205.29741553039509,32.26454657287597,-0.025727717630662287,2024-01-19 00:00:00-05:00,2024-01-22 00:00:00-05:00,3 days 00:00:00,,207.08950958251953,209.09349975585937
8,-45,33,33,211.3000030517578,211.3000030517578,,205.1165069580078,-38.03400054931641,38.03400054931641,-0.004,2024-01-23 00:00:00-05:00,2024-01-23 00:00:00-05:00,0 days 00:00:00,,202.45850372314453,202.45850372314453
9,-27,36,36,185.5,186.28260498046876,186.28260498046876,175.32480468749998,-41.206595141601866,20.076260668945313,-0.008227332562963359,2024-01-26 00:00:00-05:00,2024-01-26 00:00:00-05:00,0 days 00:00:00,,175.51300354003905,175.51300354003905
10,25,38,39,195.3300018310547,187.0,,198.5671923828125,-227.3665458679199,19.116500091552734,-0.04656049633677357,2024-01-30 00:00:00-05:00,2024-01-31 00:00:00-05:00,1 days 00:00:00,,186.63449401855468,188.42749633789063
11,-35,40,42,188.5,181.8524871826172,190.0087463378906,181.8524871826172,206.73827450561444,25.924674102783207,0.031335850626087826,2024-02-01 00:00:00-05:00,2024-02-05 00:00:00-05:00,4 days 00:00:00,,182.8239959716797,184.23050231933593
12,-28,43,43,177.2100067138672,184.68119750976564,184.68119750976564,173.81759765624997,-229.45924972168007,20.265907436523438,-0.046244415630420664,2024-02-06 00:00:00-05:00,2024-02-06 00:00:00-05:00,0 days 00:00:00,,175.74149856567382,175.74149856567382
13,-33,45,45,189.0,190.44926779785155,190.44926779785155,184.24017232259115,-72.86948900375927,25.0436516746582,-0.011683419753689193,2024-02-08 00:00:00-05:00,2024-02-08 00:00:00-05:00,0 days 00:00:00,,183.66950149536132,183.66950149536132
14,-45,46,46,190.17999267578125,191.68199266891477,191.68199266891477,186.9282517751058,-101.95757837203121,34.36757868102264,-0.011913576880221623,2024-02-09 00:00:00-05:00,2024-02-09 00:00:00-05:00,0 days 00:00:00,,186.2380012512207,186.2380012512207
15,41,47,47,192.11000061035156,191.22099571228028,191.22099571228028,198.26803054809568,-67.8823425193782,31.433141698455813,-0.00861832744498638,2024-02-12 00:00:00-05:00,2024-02-12 00:00:00-05:00,0 days 00:00:00,,191.01800765991212,191.01800765991212
16,-25,48,50,183.99000549316406,191.89260498046875,191.89260498046875,180.6048046875,-216.35911770629875,18.79413052368164,-0.04703714576808082,2024-02-13 00:00:00-05:00,2024-02-15 00:00:00-05:00,2 days 00:00:00,,184.0325065612793,185.66301040649415
17,22,51,52,202.05999755859375,196.1300048828125,,208.46799682617188,-147.98019897460938,17.520360107421876,-0.03328898724109676,2024-02-16 00:00:00-05:00,2024-02-20 00:00:00-05:00,4 days 00:00:00,,193.83899459838867,196.77649459838867
18,-23,53,53,193.36000061035156,197.63519439697265,197.63519439697265,186.0095947265625,-116.31523606262195,17.985778970336916,-0.026154241625322896,2024-02-21 00:00:00-05:00,2024-02-21 00:00:00-05:00,0 days 00:00:00,,188.5514938354492,188.5514938354492
19,-25,56,56,192.2899932861328,195.4960018157959,195.4960018157959,184.9180000305176,-99.53951299667344,19.389299755096435,-0.020706124389646446,2024-02-26 00:00:00-05:00,2024-02-26 00:00:00-05:00,0 days 00:00:00,,188.63149719238282,188.63149719238282
20,21,57,61,204.0399932861328,195.41199401855468,195.41199401855468,207.37599365234377,-197.96496808593767,16.776983466796878,-0.04620125246214756,2024-02-27 00:00:00-05:00,2024-03-04 00:00:00-05:00,6 days 00:00:00,,194.0209945678711,199.32899703979493
21,-23,62,62,183.0500030517578,180.61439941406252,191.9027993774414,180.61439941406252,39.29032115356404,16.728562513427736,0.00933228519138914,2024-03-05 00:00:00-05:00,2024-03-05 00:00:00-05:00,0 days 00:00:00,,180.97350006103517,180.97350006103517
22,-24,63,67,179.99000549316406,173.51040527343747,184.35480560302736,173.51040527343747,138.54238555664134,16.968019716796874,0.032071777443290435,2024-03-06 00:00:00-05:00,2024-03-12 00:00:00-04:00,5 days 23:00:00,,176.87901153564454,173.3315086364746
23,-26,69,69,167.77000427246094,162.7007958984375,172.86959564208985,162.7007958984375,114.61493611572288,17.18448160888672,0.026275655131548774,2024-03-14 00:00:00-04:00,2024-03-14 00:00:00-04:00,0 days 00:00:00,,165.68499069213868,165.68499069213868
24,-27,70,71,163.16000366210938,170.02000427246094,,156.0,-203.211736907959,17.9917204284668,-0.04612871081939404,2024-03-15 00:00:00-04:00,2024-03-18 00:00:00-04:00,3 days 00:00:00,,156.63699798583986,161.13900833129884
25,25,72,72,172.36000061035156,170.32400299072265,170.32400299072265,180.75200317382814,-68.0341406707766,17.13420018005371,-0.015788846699897406,2024-03-19 00:00:00-04:00,2024-03-19 00:00:00-04:00,0 days 00:00:00,,168.9489990234375,168.9489990234375
26,34,73,73,173.0,174.60850372314454,168.78005002441407,174.60850372314454,31.051748333740427,23.63737825317383,0.005279113963573639,2024-03-20 00:00:00-04:00,2024-03-20 00:00:00-04:00,0 days 00:00:00,,168.35000228881836,168.35000228881836
27,30,74,74,176.38999938964844,172.80500984191895,172.80500984191895,181.36999130249023,-128.50138698577882,20.951700553894042,-0.024283573791111446,2024-03-21 00:00:00-04:00,2024-03-21 00:00:00-04:00,0 days 00:00:00,,172.6735076904297,172.6735076904297
28,26,78,80,181.41000366210938,174.42025756835938,174.42025756835938,184.1694793701172,-200.2365720214844,18.503173583984378,-0.04245304261475802,2024-03-27 00:00:00-04:00,2024-04-01 00:00:00-04:00,5 days 00:00:00,,173.8915008544922,173.4414909362793
